Country,Indicator,Value
Australia,Air pollution,6.7
Austria,Air pollution,12.2
Belgium,Air pollution,12.8
Brazil,Air pollution,11.7
Canada,Air pollution,7.1
Chile,Air pollution,23.4
Colombia,Air pollution,22.6
Costa Rica,Air pollution,17.5
Czech Republic,Air pollution,17.0
Denmark,Air pollution,10.0
Estonia,Air pollution,5.9
Finland,Air pollution,5.5
France,Air pollution,11.4
Germany,Air pollution,12.0
Greece,Air pollution,14.5
Hungary,Air pollution,16.7
Iceland,Air pollution,6.4
Ireland,Air pollution,7.8
Israel,Air pollution,19.7
Italy,Air pollution,15.9
Japan,Air pollution,13.7
Korea,Air pollution,27.3
Latvia,Air pollution,12.7
Lithuania,Air pollution,10.5
Luxembourg,Air pollution,10.0
Mexico,Air pollution,20.3
Netherlands,Air pollution,12.2
New Zealand,Air pollution,6.0
Norway,Air pollution,6.7
Poland,Air pollution,22.8
Portugal,Air pollution,8.3
Russia,Air pollution,11.8
Slovak Republic,Air pollution,18.5
Slovenia,Air pollution,17.0
South Africa,Air pollution,28.5
Spain,Air pollution,10.0
Sweden,Air pollution,5.8
Switzerland,Air pollution,10.1
Türkiye,Air pollution,27.1
United Kingdom,Air pollution,10.1
United States,Air pollution,7.7
Australia,Dwellings without basic facilities,4.294736842105263
Austria,Dwellings without basic facilities,0.8
Belgium,Dwellings without basic facilities,0.7
Brazil,Dwellings without basic facilities,6.7
Canada,Dwellings without basic facilities,0.2
Chile,Dwellings without basic facilities,9.4
Colombia,Dwellings without basic facilities,12.3
Costa Rica,Dwellings without basic facilities,2.3
Czech Republic,Dwellings without basic facilities,0.5
Denmark,Dwellings without basic facilities,0.5
Estonia,Dwellings without basic facilities,5.7
Finland,Dwellings without basic facilities,0.4
France,Dwellings without basic facilities,0.5
Germany,Dwellings without basic facilities,0.1
Greece,Dwellings without basic facilities,0.4
Hungary,Dwellings without basic facilities,3.5
Iceland,Dwellings without basic facilities,0.0
Ireland,Dwellings without basic facilities,0.2
Israel,Dwellings without basic facilities,4.294736842105263
Italy,Dwellings without basic facilities,0.6
Japan,Dwellings without basic facilities,6.4
Korea,Dwellings without basic facilities,2.5
Latvia,Dwellings without basic facilities,11.2
Lithuania,Dwellings without basic facilities,11.8
Luxembourg,Dwellings without basic facilities,0.1
Mexico,Dwellings without basic facilities,25.9
Netherlands,Dwellings without basic facilities,0.1
New Zealand,Dwellings without basic facilities,4.294736842105263
Norway,Dwellings without basic facilities,0.0
Poland,Dwellings without basic facilities,2.3
Portugal,Dwellings without basic facilities,0.9
Russia,Dwellings without basic facilities,13.8
Slovak Republic,Dwellings without basic facilities,1.5
Slovenia,Dwellings without basic facilities,0.2
South Africa,Dwellings without basic facilities,35.9
Spain,Dwellings without basic facilities,0.3
Sweden,Dwellings without basic facilities,0.0
Switzerland,Dwellings without basic facilities,0.0
Türkiye,Dwellings without basic facilities,4.9
United Kingdom,Dwellings without basic facilities,0.5
United States,Dwellings without basic facilities,0.1
Australia,Educational attainment,84.0
Austria,Educational attainment,86.0
Belgium,Educational attainment,80.0
Brazil,Educational attainment,57.0
Canada,Educational attainment,92.0
Chile,Educational attainment,67.0
Colombia,Educational attainment,59.0
Costa Rica,Educational attainment,43.0
Czech Republic,Educational attainment,94.0
Denmark,Educational attainment,82.0
Estonia,Educational attainment,91.0
Finland,Educational attainment,91.0
France,Educational attainment,81.0
Germany,Educational attainment,86.0
Greece,Educational attainment,76.0
Hungary,Educational attainment,86.0
Iceland,Educational attainment,76.0
Ireland,Educational attainment,85.0
Israel,Educational attainment,88.0
Italy,Educational attainment,63.0
Japan,Educational attainment,78.1
Korea,Educational attainment,89.0
Latvia,Educational attainment,89.0
Lithuania,Educational attainment,94.0
Luxembourg,Educational attainment,74.0
Mexico,Educational attainment,42.0
Netherlands,Educational attainment,81.0
New Zealand,Educational attainment,81.0
Norway,Educational attainment,82.0
